,Country,Location,Coordinates,Operational date,Number of rocket launches,Heaviest rocket launched,Highest achieved altitude,Notes,Continent
0,French Algeria,"Centre interarmées d'essais d'engins spéciaux (CIEES), Hammaguir",31°05′58″N 2°50′09″W﻿ / ﻿31.09951°N 2.83581°W,1947–1967,230.0,18 000 kg,Orbital,Operated by France.[1],Africa
1,Algeria,Reggane,26°43′08″N 0°16′37″E﻿ / ﻿26.71895°N 0.27691°E,1961–1965,10.0,,,,Africa
2,Zaire,"Shaba North, Kapani Tonneo OTRAG Launch Center",7°55′33″S 28°31′40″E﻿ / ﻿7.92587°S 28.52766°E,1977–1978,3.0,,<50 km,German OTRAG rockets.[2],Africa
3,Egypt,Jabal Hamzah ballistic missile test and launch facility,30°07′32.7″N 30°36′18.5″E﻿ / ﻿30.125750°N 30.605139°E,1962–1973,6.0,,,Testing SRBMs Al Zafir and Al Kahir[3][4],Africa
4,Kenya,"Broglio Space Centre (San Marco), Malindi",2°56′27″S 40°12′48″E﻿ / ﻿2.94080°S 40.21340°E,1964–1988,27.0,20 000 kg,Orbital,"Scout rockets, operated by ASI and Sapienza University of Rome, Italy.[5]",Africa
5,Libya,"Sabha, Tawiwa OTRAG Launch Center",26°59′38″N 14°27′51″E﻿ / ﻿26.99392°N 14.46425°E,1981–1982,,,50 km,German OTRAG rockets.[6],Africa
6,Mauritania,Nouadhibou,20°55′43″N 17°01′54″W﻿ / ﻿20.92856°N 17.03153°W,1973–1973,1.0,,,During a solar eclipse,Africa
7,South Africa,Overberg South African Test Centre,34°36′10″S 20°18′09″E﻿ / ﻿34.60265°S 20.30248°E,1989–1990,,,,Launched test mission rockets only.[7],Africa
8,China,"Base 603, Shijiedu, Guangde",30°56′15″N 119°12′21″E﻿ / ﻿30.93743°N 119.20575°E,1960–1966,,1 000 kg,<60 km,,Asia
9,China,Jiuquan Satellite Launch Center,40°57′38″N 100°17′54″E﻿ / ﻿40.96056°N 100.29833°E,1970–,,464 000 kg,Orbital,Human spaceflight[8],Asia
10,China,Taiyuan Satellite Launch Center,39°08′36″N 111°58′03″E﻿ / ﻿39.14321°N 111.96741°E,1980–,,249 000 kg,Orbital,Polar satellites[9],Asia
11,China,Xichang Satellite Launch Center,28°14′47″N 102°01′41″E﻿ / ﻿28.24646°N 102.02814°E,1984–,,459 000 kg,Lunar,"Geo-synchronous satellites, lunar probes.[10][11]",Asia
12,China,Wenchang Satellite Launch Center,19°36′52.17″N 110°57′4.08″E﻿ / ﻿19.6144917°N 110.9511333°E,2016–,,879 000 kg,Interplanetary,New site on Hainan Island with pads for Long March 5 and Long March 7 rockets,Asia
13,China,Jingyu,42°00′N 126°30′E﻿ / ﻿42.0°N 126.5°E,,,,,,Asia
14,India,"Vikram Sarabhai Space Centre, Thiruvananthapuram (Thumba), Kerala",8°31′53″N 76°52′08″E﻿ / ﻿8.5314°N 76.8690°E,1962–,,,,[12],Asia
15,India,"Satish Dhawan Space Centre (Sriharikota), Andhra Pradesh",13°44′15″N 80°14′06″E﻿ / ﻿13.73740°N 80.23510°E,1971–,,"690, 000 kg",Interplanetary,Satellites and lunar probes;[13],Asia
16,India,"Dr.Abdul Kalam Island, Bhadrak, Odisha",20°45′29″N 87°05′08″E﻿ / ﻿20.75804°N 87.085533°E,,,,,Military testing facility;[14][circular reference],Asia
17,Indonesia,"LAPAN Rocket Launcher Station, Pameungpeuk, Garut",7°38′48″S 107°41′20″E﻿ / ﻿7.646643°S 107.689018°E,1965–,,765 kg,100 km,,Asia
18,Iran,Qom Space Center,34°39′00″N 50°54′00″E﻿ / ﻿34.65000°N 50.90000°E,1991,,,,Military testing[15],Asia
19,Iran,Emamshahr Space Center,36°25′12″N 55°01′12″E﻿ / ﻿36.42000°N 55.02000°E,1998,,,,Military testing and sounding rockets for ISA.[16],Asia
20,Iran,Semnan spaceport,35°14′05″N 53°55′15″E﻿ / ﻿35.234631°N 53.920941°E,2009–,,,Orbital,,Asia
21,Iraq,Al-Anbar Test Center,32°46′56″N 44°17′59″E﻿ / ﻿32.78220°N 44.29962°E,1989,,,,Out of function[17],Asia
22,Israel,Palmachim Air Force Base,31°53′05″N 34°40′49″E﻿ / ﻿31.88484°N 34.68020°E,1987–,,70 000 kg,Orbital,[18],Asia
23,Japan,Akita Rocket Range,39°34′17″N 140°03′28″E﻿ / ﻿39.57148°N 140.05785°E,1956–1990,,,343 km,,Asia
24,Japan,Uchinoura Space Center,31°15′07″N 131°04′45″E﻿ / ﻿31.25186°N 131.07914°E,1962–,,139 000 kg,Interplanetary,[19],Asia
25,Japan,"Tanegashima Space Center, Tanegashima Island",30°23′27″N 130°58′05″E﻿ / ﻿30.39096°N 130.96813°E,1967–,,445 000 kg,Interplanetary,[20],Asia
26,Japan,Ryori[21],39°01′48″N 141°49′48″E﻿ / ﻿39.03000°N 141.83000°E,1970–2001,,,,Sounding rocket launch site for the Japan Meteorological Agency,Asia
27,Japan,Niijima [ja],34°20′16″N 139°15′57″E﻿ / ﻿34.33766°N 139.26575°E,1963–1965,,,,Eighteen launches of small rockets[22][23],Asia
28,Japan,Obachi[citation needed],40°42′12″N 141°22′10″E﻿ / ﻿40.70342°N 141.36938°E,,,,,,Asia
29,Soviet Union/ Kazakhstan (Operated by Russia),"Baikonur Cosmodrome, Tyuratam",45°57′19″N 63°21′01″E﻿ / ﻿45.95515°N 63.35028°E,1957–,,2 400 000 kg,Interplanetary,"First satellite, first human. Operated by Russia.[24]",Asia
30,Soviet Union/ Kazakhstan,Sary Shagan[citation needed],46°22′48″N 72°52′12″E﻿ / ﻿46.38000°N 72.87000°E,1958–,,,,,Asia
31,North Korea,Musudan-ri,40°51′21″N 129°39′57″E﻿ / ﻿40.85572°N 129.66587°E,1998–,,,,Military rockets; satellite launch[25],Asia
32,North Korea,Sohae,39°39′36″N 124°42′18″E﻿ / ﻿39.660°N 124.705°E,2012–,,,,Military rockets; satellite launch[26],Asia
33,South Korea,Anhueng,36°42′08″N 126°28′18″E﻿ / ﻿36.70211°N 126.47158°E,1993–,,,,,Asia
34,South Korea,"Naro Space Center, Gohueng",34°25′33″N 127°31′41″E﻿ / ﻿34.42585°N 127.52793°E,2008,,,Orbital,Attempted satellite launches[27],Asia
35,Maldives,Gan Island,0°41′36″S 73°09′24″E﻿ / ﻿0.69328°S 73.15672°E,,,,,Several rockets of the Kookaburra type were launched from a pad at 0°41' S and 73°9' E[28],Asia
36,Pakistan,"Sonmiani Satellite Launch Center, Las Bela, Balochistan",25°11′33″N 66°44′56″E﻿ / ﻿25.19242°N 66.74881°E,1960s –[29],,,,"Sounding rockets, missile testing, for SUPARCO.[30]",Asia
37,Pakistan,"Tilla Satellite Launch Center, Jhelum District, Punjab",33°23′46″N 73°17′46″E﻿ / ﻿33.39610°N 73.29608°E,1980s –[31],,,,"Sounding rockets, missile testing, for SUPARCO.[32]",Asia
38,Soviet Union,Kheysa[citation needed],80°27′00″N 58°03′00″E﻿ / ﻿80.45000°N 58.05000°E,1956–1980,,,,,Asia
39,Soviet Union/ Russia,"Svobodny Cosmodrome, Amur Oblast",51°50′04″N 128°16′33″E﻿ / ﻿51.83441°N 128.27570°E,1957–2007,,47 000 kg,Orbital,ICBM base converted for satellites[33],Asia
40,Soviet Union,Sovetskaya Gavan,48°58′12″N 140°18′00″E﻿ / ﻿48.97000°N 140.30000°E,1963–1964,,,402 km,,Asia
41,Soviet Union/ Russia,Okhotsk[citation needed],59°22′N 143°15′E﻿ / ﻿59.367°N 143.250°E,1981–2005,,,1000 km,,Asia
42,Russia,"Yasny Cosmodrome (formerly Dombarovskiy), Orenburg Oblast",51°12′25″N 59°51′00″E﻿ / ﻿51.20706°N 59.85003°E,2006–,,211 000 kg,Orbital,ICBM base converted for satellites[34],Asia
43,Russia,"Vostochny Cosmodrome, Amur Oblast, Russia[35]",51°52′59″N 128°19′59″E﻿ / ﻿51.883°N 128.333°E,28 April 2016[36]–,,,,Facility on Russian territory to supplement Baikonur Cosmodrome in Kazakhstan,Asia
44,Taiwan,Haiqian,22°06′N 120°54′E﻿ / ﻿22.10°N 120.90°E,1988–,,10 000 kg,300 km,Science and technology development,Asia
45,Bulgaria,Ahtopol,42°05′09″N 27°57′18″E﻿ / ﻿42.085846°N 27.955125°E,1984 - 1990,28,475 kg,90 km,,Europe
46,France,Ile du Levant,43°02′42″N 6°28′44″E﻿ / ﻿43.04507°N 6.47887°E,1948–[citation needed],,,,,Europe
47,Germany,"Rocket Launch Site Berlin, Berlin-Tegel",52°21′00″N 13°12′36″E﻿ / ﻿52.35000°N 13.21000°E,1930–1933,,,4 km,,Europe
48,Germany,Peenemünde/Greifswalder Oie,54°08′35″N 13°47′38″E﻿ / ﻿54.14300°N 13.79400°E,1942–1945,>3000,12 500 kg,175 km,"V-2 rockets during World War II, first rocket to reach space 20 June 1944",Europe
49,West Germany,Cuxhaven,53°50′56″N 8°35′30″E﻿ / ﻿53.84884°N 8.59154°E),1945–1964,,,>110 km,,Europe
50,West Germany,"Hespenbusch, Großenkneten",52°56′20″N 8°18′45″E﻿ / ﻿52.939002°N 8.312515°E,1952–1957,,,<10 km,,Europe
51,Germany,Zingst,54°26′24″N 12°47′04″E﻿ / ﻿54.44008°N 12.78431°E,1970–1992,67,130 kg,80 km,,Europe
52,Greece,Koroni,36°46′11″N 21°55′54″E﻿ / ﻿36.7698°N 21.9316°E,1966–1989,371,,114 km,,Europe
53,Iceland,Vik,63°25′08″N 19°00′17″W﻿ / ﻿63.41891°N 19.00463°W,1964–1965,2,,,,Europe
54,Italy,Salto di Quirra,39°31′38″N 9°37′59″E﻿ / ﻿39.52731°N 9.63303°E,1964–[citation needed],,,,,Europe
55,Norway,Andøya Space Center,69°17′39″N 16°01′15″E﻿ / ﻿69.29430°N 16.02070°E,1962–,>1200,800 kg,,Rockets to the upper atmosphere.[39],Europe
56,Norway,Marka,58°12′00″N 7°18′00″E﻿ / ﻿58.20000°N 7.30000°E,1983–1984,,16 kg,,,Europe
57,Norway,SvalRak,78°13′24″N 15°38′49″E﻿ / ﻿78.2234°N 15.6470°E,1997–[citation needed],,,,,Europe
58,Nazi-occupied Poland,SS-Proving Ground Westpreußen today Poland (Tuchola Forest),53°37′11″N 17°59′06″E﻿ / ﻿53.61970°N 17.98492°E,1944–1945,,,,Nazi-German V-2 rockets,Europe
59,Germany,Leba in Pommern since 1945 part of Poland,54°46′09″N 17°35′37″E﻿ / ﻿54.76904°N 17.59355°E,1941–1945,,,,Nazi-German rockets,Europe
60,Poland,Łeba-Rąbka[citation needed],54°45′16″N 17°31′05″E﻿ / ﻿54.754486°N 17.517919°E,1963–1973,36,,,Polish rockets,Europe
61,Nazi-occupied Poland,"V-2 missile launch site, Blizna",50°10′55″N 21°36′58″E﻿ / ﻿50.18190°N 21.61620°E,1943–1944[citation needed],139,,,Nazi-German V-2 rockets,Europe
62,Soviet Union/ Russia,"Kapustin Yar Cosmodrome, Astrakhan Oblast",48°34′41″N 46°15′15″E﻿ / ﻿48.57807°N 46.25420°E,1957–[citation needed],,,Orbital,Previously for satellite launches[40],Europe
63,Soviet Union/ Russia,Nyonoksa,64°38′57″N 39°11′14″E﻿ / ﻿64.64928°N 39.18721°E,1965–1997[citation needed],,,,,Europe
64,Soviet Union/ Russia,Plesetsk Cosmodrome,62°55′32″N 40°34′40″E﻿ / ﻿62.92556°N 40.57778°E,1966–,>1000,760 000 kg,Orbital,,Europe
65,Spain,El Arenosillo,37°05′49″N 6°44′19″W﻿ / ﻿37.09687°N 6.73863°W,1966–[citation needed],>500,,720 km[41],,Europe
66,Sweden,Nausta,66°21′26″N 19°16′33″E﻿ / ﻿66.357202°N 19.275813°E,1961–1961[citation needed],1,30 kg,<80 km,Arcas rocket for atmospheric research.[42],Europe
67,Sweden,Kronogård,66°24′53″N 19°16′36″E﻿ / ﻿66.4147°N 19.2767°E,1961–1964,18,700 kg,135 km,"Arcas, Nike-Cajun and Nike-Apache rockets for atmospheric research.",Europe
68,Sweden,"Esrange, Kiruna",67°53′36″N 21°06′15″E﻿ / ﻿67.89342°N 21.10429°E,1966–1972,150,700 kg,237 km,Operated by ESRO.[43],Europe
69,Sweden,"Esrange, Kiruna",67°53′36″N 21°06′15″E﻿ / ﻿67.89342°N 21.10429°E,1972–[citation needed],300,12 400 kg,717 km,"Operated by SSC.[43] Major programmes: Maxus, TEXUS, Maser, stratospheric balloons.",Europe
70,United Kingdom,"Highdown Test Site, Isle of Wight",50°39′50″N 1°34′35″W﻿ / ﻿50.6639345°N 1.5763664°W,1956–1971,0,,,This site was used for static tests of assembled rockets only prior to them being shipped to Australia for launch.[44],Europe
71,United Kingdom,South Uist,57°19′48″N 7°19′48″W﻿ / ﻿57.33000°N 7.33000°W,1959–,1 (2015),approx 1300 kg plus payload,,First space launch from the UK took place from here in October 2015 as part of 'At Sea Demonstration 15' . The rocket was an American 'Terrier-Orion' sounding rocket.[45],Europe
72,Canada,"Churchill Rocket Research Range, Manitoba",58°44′03″N 93°49′13″W﻿ / ﻿58.73430°N 93.82030°W,1954–1998,3500+,,,Canadian Army.[54],North America
73,Canada,"Resolute Bay, Nunavut",74°41′13″N 94°53′46″W﻿ / ﻿74.6870°N 94.8962°W,1966–1971,17,,,National Research Council Canada.[55],North America
74,Canada,"Hall Beach, Nunavut",68°46′34″N 81°14′36″W﻿ / ﻿68.77607°N 81.24346°W,1971–1971,7,,270 km,,North America
75,Canada,"Southend, Saskatchewan",56°20′N 103°14′W﻿ / ﻿56.333°N 103.233°W,1980–1980,2,1 200 kg,,,North America
76,Greenland ( Denmark),Thule Air Base,76°25′26″N 68°17′37″W﻿ / ﻿76.4240°N 68.2936°W,1964–1980,,,,Former US Air Force launch site[56],North America
77,United States,"Clark University Physics Laboratory, Worcester, Massachusetts",42°15′04″N 71°49′23″W﻿ / ﻿42.250977°N 71.823169°W,1914–1920s,~10,,,"Robert H. Goddard's first experimental rockets, starting with powder-based fuels. Was also site of liquid rocket engine tests before being launched in nearby Auburn.[57](p74)",North America
78,United States,"Goddard Test Site, Auburn, Massachusetts",42°13′08″N 71°48′43″W﻿ / ﻿42.21882°N 71.81194°W,1925–1930,5,,,Open field chosen as rocket test site in 1925; launch site of Robert H. Goddard's first liquid fuel rockets beginning on 16 March 1926.[57](p143),North America
79,United States,"Eden Valley Test Site, Roswell, New Mexico",33°37′34″N 104°30′00″W﻿ / ﻿33.62600°N 104.50000°W,1930–1941,>30,,,Used for Goddard's later rocket tests.,North America
80,United States,"Wallops Flight Facility, Delmarva Peninsula, Virginia",37°50′46″N 75°28′46″W﻿ / ﻿37.84621°N 75.47938°W,1945–,1600+,,,"Now operated by NASA's Goddard Space Flight Center.[58] In 2019, Rocket Lab built their first US launch facility here.[59]",North America
81,United States,"White Sands Missile Range, New Mexico",32°33′53″N 106°21′33″W﻿ / ﻿32.56460°N 106.35908°W,1945–,7500+,,,Military and civilian flights. Served as alternate landing site for the Space Shuttle.[60],North America
82,United States,Nevada Test and Training Range (formerly Nellis Air Force Range),36°46′17″N 116°06′49″W﻿ / ﻿36.77150°N 116.11374°W,1946–1970s,2000+,,,[61],North America
83,United States,"Cape Canaveral Space Force Station, Florida",28°28′00″N 80°33′31″W﻿ / ﻿28.46675°N 80.55852°W,1949–,1000+,,Interstellar,Commercial and U.S. Government unmanned missions. Adjacent to NASA KSC.,North America
84,United States,"Vandenberg Space Force Base, California",34°46′19″N 120°36′04″W﻿ / ﻿34.77204°N 120.60124°W,1958–,500+,,Interplanetary,"Satellites, ballistic missile tests. Government and commercial launches.[62] Also launches SpaceX rockets.",North America
85,United States,"Kennedy Space Center, Florida",28°36′30″N 80°36′14″W﻿ / ﻿28.6082°N 80.6040°W,1962–,151,3 000 000 kg,Interplanetary,Launched each NASA manned mission. Adjacent to Cape Canaveral Air Force Station.,North America
86,United States,"Pacific Missile Range Facility, Hawaii",22°01′22″N 159°47′06″W﻿ / ﻿22.02278°N 159.785°W,1963–,,,,Used for testing of antiballistic missile and missile tracking by the US Navy.,North America
87,United States,"Keweenaw, Michigan",47°25′47″N 87°42′52″W﻿ / ﻿47.42980°N 87.71443°W,1964–1971[citation needed],50+,770 kg,<160 km,Currently inactive,North America
88,United States,"Pacific Spaceport Complex, Kodiak, Alaska",57°26′07″N 152°20′22″W﻿ / ﻿57.43533°N 152.33931°W,1991–,26,86 000 kg,Orbital,"Ballistic missile interceptor tests, satellite launches. Alaska Aerospace Corporation.[63]",North America
89,United States,"Mid-Atlantic Regional Spaceport (MARS), Delmarva Peninsula, Virginia",37°50′00″N 75°29′00″W﻿ / ﻿37.833378°N 75.483284°W,1995–,22,89 805 kg,Lunar,"Operates in partnership with NASA, adjacent to Wallops Flight Facility. Designed for both commercial and government launches.[64]",North America
90,United States,"Mojave Air and Space Port, California",35°03′33″N 118°08′56″W﻿ / ﻿35.05910°N 118.14880°W,2003–,20+,,112 km,"Adjacent to Edwards AFB. Privately funded, horizontal-launch spaceport. Xoie, Xombie, Xodiac (Masten Space Systems); SpaceShipOne, SpaceShipTwo (Scaled Composites, Virgin Galactic); Launcher One (Virgin Orbit).",North America
91,United States,"Spaceport America, Upham, New Mexico",32°53′22″N 106°59′58″W﻿ / ﻿32.88943°N 106.99945°W,2006–,50+,,,Sub-orbital commercial and planned space tourist launches. Operated by the state of New Mexico with Virgin Galactic as the anchor tenant.[65][66][67][68] Adjacent to White Sands Missile Range.,North America
92,Argentina,Puerto Belgrano,38°57′46″S 61°42′54″W﻿ / ﻿38.9628°S 61.715°W,TBA,,,,Launch pad for Tronador II under construction (CONAE),South America
93,Argentina,Punta Indio,35°31′26″S 57°11′02″W﻿ / ﻿35.523889°S 57.183889°W,2014–,3,7 076 kg [82],2.2 km,Civilian Launch Test Site (CONAE),South America
94,Argentina,CELPA,30°07′39″S 66°20′27″W﻿ / ﻿30.12737°S 66.34082°W,1962–1974 / 2011–,100 (approximately),933 kg,550 km,Military Launch Test Site (CITIDEF),South America
95,Argentina,Serrezuela,30°38′00″S 65°23′00″W﻿ / ﻿30.6333°S 65.3833°W,2009,1,500 kg,40 km,Military test (Gradicom I),South America
96,Argentina,Las Palmas,27°05′43″S 58°45′13″W﻿ / ﻿27.09531°S 58.75352°W,1966–1966,2,3 400 kg,270 km,"During a solar eclipse, with Titus rockets.",South America
97,Argentina,Tartagal,22°45′42″S 63°49′26″W﻿ / ﻿22.76158°S 63.82381°W,1966–1966,,,,During a solar eclipse,South America
98,Argentina,Mar Chiquita,37°43′27″S 57°24′18″W﻿ / ﻿37.72427°S 57.40512°W,1968–1972,11,,,,South America
99,Argentina,Villa Reynolds,33°43′29″S 65°22′38″W﻿ / ﻿33.72460°S 65.37730°W,1973–1973,2,,,,South America
100,Argentina,Pampa de Achala,31°35′00″S 64°50′00″W﻿ / ﻿31.5833°S 64.8333°W,1961–1962,8,28 kg,25 km,First Argentine launch site.,South America
101,Brazil,Natal/Barreira,5°51′58″S 35°22′59″W﻿ / ﻿5.86600°S 35.38300°W,1965–,233,,1100 km,,South America
102,Brazil,Praia do Cassino,32°05′00″S 52°10′02″W﻿ / ﻿32.08338°S 52.16725°W,1966–1966,27,,,,South America
103,Brazil,"Alcântara Launch Center, Maranhão",2°18′58″S 44°22′03″W﻿ / ﻿2.3160°S 44.3676°W,1990–,35,6 737 kg,956 km,"Brazilian Air Force, Brazilian Space Agency. Planned satellite launches.",South America
104,French Guiana,"Guiana Space Centre, Kourou",5°14′15″N 52°46′10″W﻿ / ﻿5.23739°N 52.76950°W,1968–,<200,777 000 kg,Interplanetary,Operated by CNES for ESA; launch base for Arianespace. Commercial and governmental launches.,South America
105,Peru,Chilca Launch Range,12°30′17″S 76°47′55″W﻿ / ﻿12.50477°S 76.79849°W,1974-1983,<65,,590 km,Sounding rocket launch location.[83],South America
106,Peru,"Chilca PLOB, Punta Lobos Range",12°30′00″S 76°48′00″W﻿ / ﻿12.50000°S 76.8000°W,1983,32,2 000 kg,590 km,"Sounding rocket launch location. Possibly part of, or identical to, Chilca Launch Range. [84][85]",South America
107,Dutch Suriname,Coronie,5°52′21″N 56°17′21″W﻿ / ﻿5.87241°N 56.28908°W,1965–1965,4,,205 km,,South America
108,Australia,"Woomera Test Range, SA",30°57′31″S 136°30′13″E﻿ / ﻿30.95875°S 136.50366°E,1950s–,,28 000 kg,Orbital,"Australian government research facility. Missile testing, 2 satellite launches.",Oceania
109,Australia,"Carnarvon, WA",24°29′08″S 113°24′31″E﻿ / ﻿24.48564°S 113.40866°E,1964–1965,12.0,,120 km,,Oceania
110,Australia,"Lancelin, WA",30°58′59″S 115°19′04″E﻿ / ﻿30.98309°S 115.31774°E,1974–1974,2.0,,,During a total solar eclipse,Oceania
111,Australia,"Koonibba Test Range, SA",31°53′08″S 133°26′55″E﻿ / ﻿31.885558°S 133.448686°E,2020–,2.0,,85 km,,Oceania
112,Australia,"Whalers Way Orbital Launch Complex, SA",34°56′02″S 135°39′08″E﻿ / ﻿34.934°S 135.6523°E,2020?–,,,,Proposed,Oceania
114,Marshall Islands,"Reagan Test Site, Omelek Island, Kwajalein Atoll",9°02′53″N 167°44′35″E﻿ / ﻿9.048167°N 167.743083°E,1950s–,,39 000 kg,Orbital,US-controlled ICBM base converted for satellites. SpaceX Falcon 1. Close to the equator.,Oceania
115,New Zealand,Birdling's Flat,43°49′01″S 172°40′59″E﻿ / ﻿43.81700°S 172.68300°E,,,,,"Formerly proposed launch site for Rocket Lab, never developed.",Oceania
116,New Zealand,Mahia,39°15′38″S 177°51′52″E﻿ / ﻿39.26044°S 177.86431°E,2017–,13.0,10 500 kg,Orbital,First commercial spaceport in the southern hemisphere.,Oceania
119,Denmark,MLP Sputnik,55°02′57″N 15°36′11″E﻿ / ﻿55.04917°N 15.60306°E,2010–,4,1 630 kg,8.2 km,Mobile satellite launch platform operated by Copenhagen Suborbitals.,Laucnhes at Sea
